tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,fare_amount,extra,mta_tax,improvement_surcharge,total_amount,congestion_surcharge,trip_duration,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
2024-10-17 00:07:37,2024-10-17 00:15:16,1.0,0.8,161,229,8.6,1.0,0.5,1.0,16.6,2.5,459.0,40.75802804352629,-73.97769793122407,40.75672894163307,-73.96514579918423
2024-10-17 00:08:18,2024-10-17 00:20:40,1.0,1.8,161,90,13.5,3.5,0.5,1.0,22.2,2.5,742.0,40.75802804352629,-73.97769793122407,40.74227862901229,-73.99697141558367
2024-10-17 00:09:04,2024-10-17 00:19:19,1.0,2.52,161,263,13.5,1.0,0.5,1.0,22.2,2.5,615.0,40.75802804352629,-73.97769793122407,40.77876585543438,-73.951009874818
2024-10-17 00:09:30,2024-10-17 00:40:39,1.0,11.63,161,181,48.5,1.0,0.5,1.0,72.53,2.5,1869.0,40.75802804352629,-73.97769793122407,40.67037432591724,-73.98141374048754
2024-10-17 00:09:37,2024-10-17 00:50:17,1.0,8.04,161,244,46.4,1.0,0.5,1.0,61.68,2.5,2440.0,40.75802804352629,-73.97769793122407,40.84170877111965,-73.94139910573635
2024-10-17 00:09:55,2024-10-17 00:30:11,1.0,1.19,161,68,11.08,0.0,0.5,1.0,15.08,2.5,1216.0,40.75802804352629,-73.97769793122407,40.74842755506573,-73.99991742024713
2024-10-17 00:09:57,2024-10-17 00:40:55,1.0,7.2,161,34,36.6,3.5,0.5,1.0,49.9,2.5,1858.0,40.75802804352629,-73.97769793122407,40.700855738517134,-73.9711886923304
2024-10-17 00:10:16,2024-10-17 00:20:47,1.0,1.76,161,107,11.65,0.0,0.5,1.0,15.65,2.5,631.0,40.75802804352629,-73.97769793122407,40.73682405761895,-73.9840521326891
2024-10-17 00:10:35,2024-10-17 00:19:33,1.0,1.12,161,229,10.0,1.0,0.5,1.0,18.75,2.5,538.0,40.75802804352629,-73.97769793122407,40.75672894163307,-73.96514579918423
2024-10-17 00:10:56,2024-10-17 00:15:07,1.0,0.67,161,170,6.5,1.0,0.5,1.0,13.5,2.5,251.0,40.75802804352629,-73.97769793122407,40.7477457936439,-73.97849159965229
2024-10-17 00:11:03,2024-10-17 00:24:04,1.0,1.5,161,229,12.8,3.5,0.5,1.0,21.36,2.5,781.0,40.75802804352629,-73.97769793122407,40.75672894163307,-73.96514579918423
2024-10-17 00:11:08,2024-10-17 00:22:18,2.0,1.79,161,224,12.8,1.0,0.5,1.0,19.3,2.5,670.0,40.75802804352629,-73.97769793122407,40.73182063601678,-73.97659767323344
2024-10-17 00:11:28,2024-10-17 00:45:27,2.0,4.06,161,236,31.0,1.0,0.5,1.0,43.2,2.5,2039.0,40.75802804352629,-73.97769793122407,40.780436437189955,-73.95701169835736
2024-10-17 00:13:26,2024-10-17 00:18:19,1.0,0.96,161,142,6.5,1.0,0.5,1.0,12.5,2.5,293.0,40.75802804352629,-73.97769793122407,40.77363329302708,-73.98153220639182
2024-10-17 00:13:42,2024-10-17 00:38:39,1.0,5.9,161,97,27.5,1.0,0.5,1.0,37.38,2.5,1497.0,40.75802804352629,-73.97769793122407,40.69078679421089,-73.97488208618893
2024-10-17 00:14:07,2024-10-17 00:20:49,1.0,1.0,161,163,7.2,3.5,0.5,1.0,14.65,2.5,402.0,40.75802804352629,-73.97769793122407,40.76442140578678,-73.97756868222714
2024-10-17 00:14:26,2024-10-17 00:42:23,1.0,4.69,161,7,27.5,1.0,0.5,1.0,40.62,2.5,1677.0,40.75802804352629,-73.97769793122407,40.76149256216375,-73.91969431946073
2024-10-17 00:14:59,2024-10-17 00:36:57,1.0,5.24,161,151,26.8,1.0,0.5,1.0,34.8,2.5,1318.0,40.75802804352629,-73.97769793122407,40.79796199310006,-73.96816833309242
2024-10-17 00:15:14,2024-10-17 00:44:43,1.0,5.6,161,255,30.3,3.5,0.5,1.0,40.3,2.5,1769.0,40.75802804352629,-73.97769793122407,40.718803918129936,-73.95741813122196
2024-10-17 00:15:16,2024-10-17 00:22:01,1.0,0.88,161,229,7.9,1.0,0.5,1.0,16.77,2.5,405.0,40.75802804352629,-73.97769793122407,40.75672894163307,-73.96514579918423
2024-10-17 00:15:21,2024-10-17 00:27:16,1.0,1.61,161,142,12.1,1.0,0.5,1.0,19.66,2.5,715.0,40.75802804352629,-73.97769793122407,40.77363329302708,-73.98153220639182
2024-10-17 00:15:28,2024-10-17 00:20:53,1.0,0.6,161,170,6.5,1.0,0.5,1.0,13.8,2.5,325.0,40.75802804352629,-73.97769793122407,40.7477457936439,-73.97849159965229
2024-10-17 00:15:36,2024-10-17 00:58:11,1.0,11.1,161,197,39.5,0.0,0.5,1.0,47.94,0.0,2555.0,40.75802804352629,-73.97769793122407,40.69454235438128,-73.83092407449993
2024-10-17 00:15:51,2024-10-17 00:43:16,1.0,5.6,161,66,29.6,3.5,0.5,1.0,35.6,2.5,1645.0,40.75802804352629,-73.97769793122407,40.70225893882252,-73.98570161582295
2024-10-17 00:16:07,2024-10-17 00:32:10,1.0,2.93,161,263,17.7,1.0,0.5,1.0,28.37,2.5,963.0,40.75802804352629,-73.97769793122407,40.77876585543438,-73.951009874818
2024-10-17 00:16:45,2024-10-17 00:30:29,1.0,2.35,161,239,13.74,0.0,0.5,1.0,17.74,2.5,824.0,40.75802804352629,-73.97769793122407,40.78396143031379,-73.97863194845084
2024-10-17 00:16:45,2024-10-17 00:30:29,1.0,2.35,161,239,1.81,0.0,0.5,1.0,2.19,2.5,824.0,40.75802804352629,-73.97769793122407,40.78396143031379,-73.97863194845084
2024-10-17 00:16:55,2024-10-17 00:36:35,1.0,4.94,161,13,24.0,1.0,0.5,1.0,34.8,2.5,1180.0,40.75802804352629,-73.97769793122407,40.71203815707452,-74.01607915192933
2024-10-17 00:17:04,2024-10-17 00:25:54,1.0,1.0,161,163,6.78,0.0,0.5,1.0,10.78,2.5,530.0,40.75802804352629,-73.97769793122407,40.76442140578678,-73.97756868222714
2024-10-17 00:17:08,2024-10-17 00:21:45,1.0,0.81,161,163,6.5,1.0,0.5,1.0,13.8,2.5,277.0,40.75802804352629,-73.97769793122407,40.76442140578678,-73.97756868222714
2024-10-17 00:18:04,2024-10-17 00:22:32,1.0,0.49,161,170,6.5,1.0,0.5,1.0,12.65,2.5,268.0,40.75802804352629,-73.97769793122407,40.7477457936439,-73.97849159965229
2024-10-17 00:18:20,2024-10-17 00:29:20,1.0,2.37,161,263,13.5,1.0,0.5,1.0,22.2,2.5,660.0,40.75802804352629,-73.97769793122407,40.77876585543438,-73.951009874818
2024-10-17 00:18:59,2024-10-17 00:28:04,1.0,1.51,161,229,10.7,1.0,0.5,1.0,18.06,2.5,545.0,40.75802804352629,-73.97769793122407,40.75672894163307,-73.96514579918423
2024-10-17 00:19:15,2024-10-17 00:36:32,1.0,3.15,161,236,18.4,1.0,0.5,1.0,28.08,2.5,1037.0,40.75802804352629,-73.97769793122407,40.780436437189955,-73.95701169835736
