tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,fare_amount,extra,mta_tax,improvement_surcharge,total_amount,congestion_surcharge,trip_duration,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
2024-06-09 01:07:07,2024-06-09 01:15:39,1.0,3.31,93,129,14.9,1.0,0.5,1.0,17.4,0.0,512.0,40.74067587216067,-73.84086726234155,40.75731206303918,-73.8853172406108
2024-06-09 01:42:18,2024-06-09 01:48:31,2.0,0.7,93,145,7.9,1.0,0.5,1.0,10.4,0.0,373.0,40.74067587216067,-73.84086726234155,40.74537943399848,-73.94889145447944
2024-06-09 05:37:11,2024-06-09 05:57:51,1.0,19.75,93,239,70.0,0.0,0.5,1.0,90.94,2.5,1240.0,40.74067587216067,-73.84086726234155,40.78396143031379,-73.97863194845084
2024-06-09 05:38:10,2024-06-09 05:49:40,1.0,9.07,93,137,0.75,0.0,0.5,1.0,10.19,2.5,690.0,40.74067587216067,-73.84086726234155,40.74043897859643,-73.97649472376759
2024-06-09 06:01:10,2024-06-09 06:13:09,1.0,10.1,93,42,70.0,0.0,0.5,1.0,98.05,0.0,719.0,40.74067587216067,-73.84086726234155,40.81825786111925,-73.94077166756267
2024-06-09 06:03:08,2024-06-09 06:13:58,1.0,8.92,93,75,70.0,0.0,0.5,1.0,94.13,0.0,650.0,40.74067587216067,-73.84086726234155,40.7900107514954,-73.94575026755157
2024-06-09 06:09:04,2024-06-09 06:25:19,1.0,9.54,93,36,58.0,0.0,0.0,1.0,64.0,0.0,975.0,40.74067587216067,-73.84086726234155,40.70052219951917,-73.9177105313157
2024-06-09 06:41:56,2024-06-09 06:49:16,1.0,7.19,93,132,82.0,0.0,0.5,1.0,93.5,0.0,440.0,40.74067587216067,-73.84086726234155,40.64698489239528,-73.78653298335001
2024-06-09 06:58:58,2024-06-09 07:15:21,1.0,11.65,93,114,70.0,0.0,0.5,1.0,88.8,2.5,983.0,40.74067587216067,-73.84086726234155,40.7283403913723,-73.99738026020042
2024-06-09 07:13:08,2024-06-09 07:28:39,1.0,9.8,93,100,70.0,2.5,0.5,1.0,80.94,2.5,931.0,40.74067587216067,-73.84086726234155,40.75351275872571,-73.9887865991153
2024-06-09 07:31:44,2024-06-09 07:46:05,1.0,11.94,93,263,70.0,0.0,0.5,1.0,101.17,2.5,861.0,40.74067587216067,-73.84086726234155,40.77876585543438,-73.951009874818
2024-06-09 07:44:14,2024-06-09 08:05:53,1.0,10.2,93,164,70.0,2.5,0.5,1.0,90.94,2.5,1299.0,40.74067587216067,-73.84086726234155,40.748574629356725,-73.98515639467682
2024-06-09 10:05:57,2024-06-09 10:35:15,1.0,11.27,93,68,41.83,0.0,0.5,1.0,52.77,2.5,1758.0,40.74067587216067,-73.84086726234155,40.74842755506573,-73.99991742024713
2024-06-09 10:06:16,2024-06-09 10:22:25,1.0,10.11,93,263,70.0,0.0,0.5,1.0,90.94,2.5,969.0,40.74067587216067,-73.84086726234155,40.77876585543438,-73.951009874818
2024-06-09 11:14:41,2024-06-09 11:39:28,1.0,10.15,93,164,70.0,0.0,0.5,1.0,87.94,2.5,1487.0,40.74067587216067,-73.84086726234155,40.748574629356725,-73.98515639467682
2024-06-09 11:29:24,2024-06-09 11:40:39,2.0,6.57,93,132,81.0,0.0,0.0,1.0,84.5,0.0,675.0,40.74067587216067,-73.84086726234155,40.64698489239528,-73.78653298335001
2024-06-09 11:39:35,2024-06-09 12:18:23,1.0,10.3,93,68,44.37,0.0,0.5,1.0,55.31,2.5,2328.0,40.74067587216067,-73.84086726234155,40.74842755506573,-73.99991742024713
2024-06-09 13:54:28,2024-06-09 14:15:39,1.0,3.9,93,93,22.6,0.0,0.5,1.0,24.1,0.0,1271.0,40.74067587216067,-73.84086726234155,40.74067587216067,-73.84086726234155
2024-06-09 14:03:58,2024-06-09 15:16:00,1.0,19.8,93,142,70.0,0.0,0.5,1.0,97.13,2.5,4322.0,40.74067587216067,-73.84086726234155,40.77363329302708,-73.98153220639182
2024-06-09 14:19:39,2024-06-09 14:37:34,1.0,5.27,93,132,88.75,0.0,0.0,1.0,99.75,0.0,1075.0,40.74067587216067,-73.84086726234155,40.64698489239528,-73.78653298335001
2024-06-09 14:21:12,2024-06-09 14:38:25,1.0,1.95,93,93,19.77,0.0,0.5,1.0,21.27,2.5,1033.0,40.74067587216067,-73.84086726234155,40.74067587216067,-73.84086726234155
2024-06-09 14:27:05,2024-06-09 14:48:34,1.0,7.64,93,160,31.69,0.0,0.5,1.0,33.19,2.5,1289.0,40.74067587216067,-73.84086726234155,40.718336770013686,-73.88005140814946
2024-06-09 16:39:09,2024-06-09 16:39:53,1.0,0.0,93,93,19.0,0.0,0.0,1.0,24.0,0.0,44.0,40.74067587216067,-73.84086726234155,40.74067587216067,-73.84086726234155
2024-06-09 17:00:32,2024-06-09 17:28:13,1.0,9.4,93,90,70.0,0.0,0.5,1.0,97.13,2.5,1661.0,40.74067587216067,-73.84086726234155,40.74227862901229,-73.99697141558367
2024-06-09 17:13:57,2024-06-09 17:40:07,2.0,8.38,93,164,70.0,0.0,0.5,1.0,80.94,2.5,1570.0,40.74067587216067,-73.84086726234155,40.748574629356725,-73.98515639467682
2024-06-09 17:15:00,2024-06-09 17:15:06,1.0,0.04,93,93,12.58,0.0,0.5,1.0,14.08,2.5,6.0,40.74067587216067,-73.84086726234155,40.74067587216067,-73.84086726234155
2024-06-09 17:15:20,2024-06-09 17:24:25,1.0,2.36,93,134,12.58,0.0,0.0,1.0,13.58,0.0,545.0,40.74067587216067,-73.84086726234155,40.70805099798806,-73.82871246597533
2024-06-09 18:43:14,2024-06-09 18:49:46,1.0,2.4,93,138,60.0,5.0,0.0,1.0,66.0,0.0,392.0,40.74067587216067,-73.84086726234155,40.774375705932435,-73.87362864289085
2024-06-09 18:48:03,2024-06-09 18:49:06,1.0,0.67,93,134,5.1,0.0,0.5,1.0,6.6,0.0,63.0,40.74067587216067,-73.84086726234155,40.70805099798806,-73.82871246597533
2024-06-09 19:52:52,2024-06-09 20:28:36,1.0,10.24,93,189,45.53,0.0,0.5,1.0,47.03,2.5,2144.0,40.74067587216067,-73.84086726234155,40.67763538934729,-73.96758681222951
2024-06-09 20:01:59,2024-06-09 20:52:37,1.0,11.4,93,42,42.58,0.0,0.5,1.0,51.02,2.5,3038.0,40.74067587216067,-73.84086726234155,40.81825786111925,-73.94077166756267
2024-06-09 20:43:59,2024-06-09 21:17:21,1.0,9.09,93,198,54.21,0.0,0.5,1.0,55.71,2.5,2002.0,40.74067587216067,-73.84086726234155,40.70652679441958,-73.90170926444722
2024-06-09 20:50:36,2024-06-09 21:13:22,2.0,8.54,93,164,70.0,0.0,0.5,1.0,97.13,2.5,1366.0,40.74067587216067,-73.84086726234155,40.748574629356725,-73.98515639467682
2024-06-09 20:57:18,2024-06-09 21:21:05,1.0,7.04,93,146,30.41,0.0,0.5,1.0,31.91,2.5,1427.0,40.74067587216067,-73.84086726234155,40.754242520500306,-73.93482888929141
2024-06-09 21:01:34,2024-06-09 21:31:39,1.0,10.33,93,232,42.42,0.0,0.5,1.0,46.42,2.5,1805.0,40.74067587216067,-73.84086726234155,40.71473250693941,-73.9830245583349
2024-06-09 21:21:08,2024-06-09 21:55:57,1.0,12.9,93,87,70.0,2.5,0.5,1.0,90.94,2.5,2089.0,40.74067587216067,-73.84086726234155,40.70680845166581,-74.00749598562425
2024-06-09 21:21:21,2024-06-09 21:40:21,1.0,6.08,93,129,28.69,0.0,0.5,1.0,30.19,2.5,1140.0,40.74067587216067,-73.84086726234155,40.75731206303918,-73.8853172406108
2024-06-09 21:28:10,2024-06-09 22:07:14,1.0,12.17,93,188,55.34,0.0,0.5,1.0,56.84,2.5,2344.0,40.74067587216067,-73.84086726234155,40.65874445085672,-73.94744164500473
2024-06-09 21:32:43,2024-06-09 22:16:35,1.0,12.9,93,79,51.3,3.5,0.5,1.0,56.3,2.5,2632.0,40.74067587216067,-73.84086726234155,40.72762019590954,-73.98593745682462
2024-06-09 21:40:16,2024-06-09 22:28:50,1.0,12.06,93,181,55.82,0.0,0.5,1.0,57.32,2.5,2914.0,40.74067587216067,-73.84086726234155,40.67037432591724,-73.98141374048754
2024-06-09 21:44:13,2024-06-09 22:28:37,1.0,13.62,93,74,38.48,0.0,0.5,1.0,42.48,2.5,2664.0,40.74067587216067,-73.84086726234155,40.80116948058648,-73.93734560812489
2024-06-09 21:44:57,2024-06-09 22:22:02,1.0,11.04,93,125,49.12,0.0,0.5,1.0,60.06,2.5,2225.0,40.74067587216067,-73.84086726234155,40.726290410281216,-74.00748581800951
2024-06-09 21:58:09,2024-06-09 22:29:35,1.0,9.18,93,107,70.0,0.0,0.5,1.0,90.94,2.5,1886.0,40.74067587216067,-73.84086726234155,40.73682405761895,-73.9840521326891
2024-06-09 22:01:15,2024-06-09 22:26:56,1.0,11.65,93,262,47.56,0.0,0.5,1.0,58.5,2.5,1541.0,40.74067587216067,-73.84086726234155,40.775932403149966,-73.94651035601466
2024-06-09 22:05:47,2024-06-09 22:30:23,1.0,8.46,93,255,34.5,1.0,0.5,1.0,43.0,0.0,1476.0,40.74067587216067,-73.84086726234155,40.718803918129936,-73.95741813122196
2024-06-09 22:20:27,2024-06-09 22:24:18,1.0,2.44,93,28,55.07,0.0,0.5,1.0,56.57,2.5,231.0,40.74067587216067,-73.84086726234155,40.711596357945076,-73.80872901637517
2024-06-09 22:21:46,2024-06-09 22:49:13,1.0,10.12,93,225,43.04,0.0,0.5,1.0,44.54,2.5,1647.0,40.74067587216067,-73.84086726234155,40.68816818695491,-73.93188826440705
2024-06-09 22:22:20,2024-06-09 22:34:31,1.0,3.3,93,92,20.8,0.0,0.5,1.0,22.3,2.5,731.0,40.74067587216067,-73.84086726234155,40.76110218983439,-73.82885869884265
2024-06-09 22:25:48,2024-06-09 23:20:34,1.0,11.34,93,61,61.8,1.0,0.5,1.0,80.37,0.0,3286.0,40.74067587216067,-73.84086726234155,40.67446941826645,-73.93928705867957
2024-06-09 22:30:03,2024-06-09 22:58:08,1.0,8.6,93,225,50.24,0.0,0.5,1.0,51.74,2.5,1685.0,40.74067587216067,-73.84086726234155,40.68816818695491,-73.93188826440705
