tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,PULocationID,DOLocationID,fare_amount,extra,mta_tax,improvement_surcharge,total_amount,congestion_surcharge,trip_duration,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude
2024-10-27 00:06:57,2024-10-27 00:54:15,1.0,7.1,186,198,43.6,3.5,0.5,1.0,55.54,2.5,2838.0,40.748497181405014,-73.9924375369761,40.70652679441958,-73.90170926444722
2024-10-27 00:07:18,2024-10-27 00:20:27,1.0,1.86,186,113,13.5,1.0,0.5,1.0,22.2,2.5,789.0,40.748497181405014,-73.9924375369761,40.732579073027026,-73.99430477051166
2024-10-27 00:07:19,2024-10-27 00:12:37,1.0,1.12,186,249,7.2,1.0,0.5,1.0,14.64,2.5,318.0,40.748497181405014,-73.9924375369761,40.73457600733173,-74.00287495910837
2024-10-27 00:07:26,2024-10-27 00:31:18,1.0,1.98,186,137,20.5,1.0,0.5,1.0,30.6,2.5,1432.0,40.748497181405014,-73.9924375369761,40.74043897859643,-73.97649472376759
2024-10-27 00:07:30,2024-10-27 00:19:34,1.0,1.3,186,68,12.1,1.0,0.5,1.0,17.1,2.5,724.0,40.748497181405014,-73.9924375369761,40.74842755506573,-73.99991742024713
2024-10-27 00:07:51,2024-10-27 00:35:59,1.0,4.0,186,232,26.8,1.0,0.5,1.0,38.16,2.5,1688.0,40.748497181405014,-73.9924375369761,40.71473250693941,-73.9830245583349
2024-10-27 00:08:11,2024-10-27 00:35:17,1.0,6.1,186,41,33.1,3.5,0.5,1.0,43.1,2.5,1626.0,40.748497181405014,-73.9924375369761,40.80433394979462,-73.95129200243511
2024-10-27 00:08:11,2024-10-27 00:28:52,2.0,2.4,186,142,19.1,1.0,0.5,1.0,26.51,2.5,1241.0,40.748497181405014,-73.9924375369761,40.77363329302708,-73.98153220639182
2024-10-27 00:09:12,2024-10-27 00:26:14,1.0,2.38,186,50,17.0,1.0,0.5,1.0,26.4,2.5,1022.0,40.748497181405014,-73.9924375369761,40.76623772504185,-73.99513522075515
2024-10-27 00:09:25,2024-10-27 00:19:56,2.0,1.6,186,158,11.4,3.5,0.5,1.0,19.65,2.5,631.0,40.748497181405014,-73.9924375369761,40.735035400696674,-74.00898410478533
2024-10-27 00:09:46,2024-10-27 00:19:50,4.0,1.75,186,125,11.4,1.0,0.5,1.0,16.4,2.5,604.0,40.748497181405014,-73.9924375369761,40.726290410281216,-74.00748581800951
2024-10-27 00:10:03,2024-10-27 00:31:15,1.0,3.25,186,236,20.5,1.0,0.5,1.0,25.5,2.5,1272.0,40.748497181405014,-73.9924375369761,40.780436437189955,-73.95701169835736
2024-10-27 00:10:06,2024-10-27 00:29:49,2.0,1.0,186,137,17.0,3.5,0.5,1.0,24.0,2.5,1183.0,40.748497181405014,-73.9924375369761,40.74043897859643,-73.97649472376759
2024-10-27 00:10:25,2024-10-27 00:24:10,2.0,2.17,186,231,14.2,1.0,0.5,1.0,19.2,2.5,825.0,40.748497181405014,-73.9924375369761,40.717772736265175,-74.00787970866406
2024-10-27 00:12:04,2024-10-27 00:29:21,1.0,3.35,186,209,19.1,1.0,0.5,1.0,28.92,2.5,1037.0,40.748497181405014,-73.9924375369761,40.709072742793076,-74.00366456329895
2024-10-27 00:12:18,2024-10-27 00:25:24,2.0,1.96,186,211,13.5,1.0,0.5,1.0,22.2,2.5,786.0,40.748497181405014,-73.9924375369761,40.72388811004175,-74.00153756565635
2024-10-27 00:13:11,2024-10-27 00:19:38,1.0,1.09,186,249,7.9,1.0,0.5,1.0,15.48,2.5,387.0,40.748497181405014,-73.9924375369761,40.73457600733173,-74.00287495910837
2024-10-27 00:14:20,2024-10-27 00:22:07,1.0,1.62,186,125,10.0,1.0,0.5,1.0,18.0,2.5,467.0,40.748497181405014,-73.9924375369761,40.726290410281216,-74.00748581800951
2024-10-27 00:14:21,2024-10-27 00:28:16,1.0,1.89,186,68,14.9,1.0,0.5,1.0,23.88,2.5,835.0,40.748497181405014,-73.9924375369761,40.74842755506573,-73.99991742024713
2024-10-27 00:14:28,2024-10-27 01:00:57,1.0,4.57,186,193,40.1,1.0,0.5,1.0,54.12,2.5,2789.0,40.748497181405014,-73.9924375369761,40.760313635026954,-73.94199705818417
